reaction_id	flux
ABYW00000000_1_ms_medium_gapseq_open_rxn00915_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00916_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00917_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00926_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00929_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00931_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00941_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00947_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00949_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00950_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00952_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00971_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00973_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00974_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00979_ABYW00000000_1_ms_medium_gapseq_open_c0	0.004569
ABYW00000000_1_ms_medium_gapseq_open_rxn00980_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00986_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn01011_ABYW00000000_1_ms_medium_gapseq_open_c0	0.284737
ABYW00000000_1_ms_medium_gapseq_open_rxn01013_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn01018_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
